Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:37:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:40:13 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:14 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:15 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:16 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:17 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:18 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:19 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:20 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:21 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:22 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:23 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:24 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:25 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:26 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:27 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:28 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:29 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:30 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:31 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:32 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:33 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:34 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:35 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:36 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:37 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:38 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:40:39 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:40 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:41 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:42 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:40:43 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:44 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:45 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:46 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:47 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:48 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:49 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:50 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:51 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:40:52 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
